RowIndex,Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,GPTGeometry,GPTEntity,GPTReasoningSummary,GPTError,GPTConfidence,RunID
0,Corporatiebezit AFWC 2020,Housing association property AFWC 2020,https://maps.amsterdam.nl/open_geodata/?k=208,https://maps.amsterdam.nl/afwc_2020,AFWC_2020,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"Polygon features represent housing association property footprints/blocks, i.e. discrete real-world objects. They do not form a tessellation or reporting-unit coverage, so geometry is PlainVectorRegion and entity is ObjectDS.",,0.91,V2_gpt
1,Archeologische beerputten,Archaeological cesspits,https://maps.amsterdam.nl/open_geodata/?k=273,https://maps.amsterdam.nl/archeologie,ARCHEO_BEERPUT_VONDST,PointDS,ObjectDS,PointDS,ObjectDS,"Point geometry with each feature representing a distinct archaeological find/cesspit at an address; this is an object layer, not a measurement or event layer.",,0.98,V2_gpt
2,Archeologische waterbodems,Archaeological water soils,https://maps.amsterdam.nl/open_geodata/?k=274,https://maps.amsterdam.nl/archeologie,ARCHEO_WATERBODEMS,PointDS,ObjectDS,PointDS,ObjectDS,"Point geometry with each feature representing a named archaeological find/location (object code, location, caption, photos); classify as ObjectDS rather than amount or event.",,0.97,V2_gpt
3,Archeologische vindplaatsen,Archaeological sites,https://maps.amsterdam.nl/open_geodata/?k=101,https://maps.amsterdam.nl/archeologie,ARCHEOVINDPLAATSEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"Polygons map archaeological sites/vindplaatsen as discrete identified places, not a tessellation or reporting unit. The decisive rule is ObjectDS for bounded real-world sites/features.",,0.97,V2_gpt
4,Barbecue,Barbecue,https://maps.amsterdam.nl/open_geodata/?k=319,https://maps.amsterdam.nl/bbq,BBQ,PlainVectorRegion,ObjectDS,PlainVectorRegion,PatchDS,"Polygons mark selected BBQ restriction/applicability areas around parks, not a full tessellation or reporting units; this fits a bounded patch/zone with policy restrictions. ",,0.94,V2_gpt
5,Beschermde stads- en dorpsgezichten,Conservation areas,https://maps.amsterdam.nl/open_geodata/?k=125,https://maps.amsterdam.nl/cultuurhistorie,BESCHERMDESTADSGEZICHTEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,PatchDS,"Polygon areas are selected conservation zones, not a complete tessellation or reporting units. The decisive rule is PatchDS: protected city/district heritage areas are bounded applicability zones where the protection applies.",,0.96,V2_gpt
6,Wilde bijen,Wild bees,https://maps.amsterdam.nl/open_geodata/?k=135,https://maps.amsterdam.nl/bijen,BIJEN,PointDS,AmountDS,PointDS,ObjectDS,"Point geometry with each feature representing a wild bee observation site (area/year list of observed bee species), so this is an object/observation-location layer rather than an amount or event layer.",,0.87,V2_gpt
7,Honingbijen,Honey bees,https://maps.amsterdam.nl/open_geodata/?k=136,https://maps.amsterdam.nl/honingbijen,BIJEN_HONING,PointDS,AmountDS,PointDS,ObjectDS,"Point geometry with 111 features; each point represents a honey bee site/apiary object, with colony/hive counts as attributes rather than the main phenomenon.",,0.97,V2_gpt
8,Bodemkwaliteit,Soil quality,https://maps.amsterdam.nl/open_geodata/?k=57,https://maps.amsterdam.nl/bodemkwaliteit,BODEMKWALITEIT,PlainVectorRegion,PatchDS,VectorTessellation,PatchDS,"Polygons form a near-area-wide zoning/soil-quality partition with zone and sanering classifications, so geometry is tessellation and the main meaning is selected applicability/phenomenon areas rather than objects or reporting units.",,0.93,V2_gpt
9,Bomen (deel 1),Trees (part 1),https://maps.amsterdam.nl/open_geodata/?k=254,https://maps.amsterdam.nl/bomen,BOMEN,PointDS,ObjectDS,PointDS,ObjectDS,"Point geometry with 70k individual tree records; each point represents a distinct tree object with species, year, owner, and manager attributes, not a measurement or event layer.",,0.99,V2_gpt
