RowIndex,Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,MapDescriptionTitle,MapDescription,MapDescriptionSource,GPTGeometry,GPTEntity,GPTReasoningSummary,GPTGeometryReasoningSummary,GPTEntityReasoningSummary,GPTEntityDecisiveRule,GPTError,GPTConfidence,GPTGeometryConfidence,GPTEntityConfidence,RunID
0,Corporatiebezit AFWC 2020,Housing association property AFWC 2020,https://maps.amsterdam.nl/open_geodata/?k=208,https://maps.amsterdam.nl/afwc_2020,AFWC_2020,PlainVectorRegion,ObjectDS,Woningcorporatiebezit 2020 Metropoolregio Amsterdam,"Deze interactieve website van de woningen van corporaties in de Metropoolregio Amsterdam is gelanceerd op 1 juli 2019 op de Jaarbijeenkomst van de Amsterdamse Federatie van Woningcorporaties (AFWC) https://www.afwc.nl Medio 2020 is het corporatiebezit op de kaart geactualiseerd (peildatum 1-1-2020). 

De website is de opvolger van de papieren Atlas Sociale Woningbouw, waarvan de eerste editie verscheen in 1992, ter gelegenheid van het 75-jarig jubileum van de AFWC. Deze negende editie (2020) verschijnt net als de vorige editie (2019) alleen als website en niet op papier. Iedere corporatie heeft een eigen kleur. Daarbij is zoveel mogelijk aangesloten bij de kleuren in de eerdere edities van de Atlas.

De website 
Woningcorporatiebezit 2020
is tot stand gekomen in opdracht van de Amsterdamse Federatie van Woningcorporaties en vervaardigd door de afdeling Ruimte en Duurzaamheid van de gemeente Amsterdam, team Beeld en Data. Vanaf editie 2019 is het corporatiebezit van 30 woningcorporaties in de gehele Metropoolregio Amsterdam afgebeeld. De editie daarvoor (2017) bevatte Amsterdam, Zaanstreek-Waterland, Amstel-Meerlanden en Almere. Vanaf 2019 is de kaart uitgebreid met Zuid-Kennemerland, IJmond, Gooi- en Vechtstreek en Lelystad.

Op de website staan zo`n 400.000 woningen aangegeven in de gemeenten Aalsmeer, Almere, Amstelveen, Amsterdam, Beemster, Beverwijk, Blaricum, Bloemendaal, Diemen, Edam-Volendam, Gooise Meren, Haarlem, Haarlemmermeer, Heemskerk, Heemstede, Hilversum, Huizen, Landsmeer, Laren, Lelystad, Oostzaan, Ouder-Amstel, Purmerend, Uithoorn, Velsen, Waterland, Weesp, Wijdemeren, Wormerland, Zaanstad en Zandvoort. Het bezit van de aangesloten corporaties buiten deze gemeenten staat niet op de kaart. 

Naast de kaart van het 
corporatiebezit
in verschillende kleuren en met een filter op het 
percentage adressen
van de betreffende corporatie per deel van een blok, is er ook een aparte 
bouwperiodekaart
.


Percentage corporatieadressen

De kaart corporatieadressen bevat per (deel van een) bouwblok het percentage woningen dat de betreffende corporatie in bezit heeft. De overige adressen kunnen koopwoningen zijn of particuliere huurwoningen. Als het percentage lager ligt dan 100, wil het niet per definitie zeggen dat de corporatie woningen heeft verkocht. Het blok kan als gemengd blok van huur- en koopwoningen zijn opgeleverd, of er hebben al vanaf de start naast corporatiewoningen, particuliere huurwoningen in het blok gezeten. Bijvoorbeeld omdat de corporatie panden heeft aangekocht in voormalig particulier bezit. De kaart is dus slechts als indicatie te gebruiken. De percentages worden alleen afgebeeld bij woonblokken waarin uitsluitend zelfstandige woningen voorkomen. Bij blokken met onzelfstandige eenheden wordt het percentage niet vermeld. Deze komen namelijk als losse eenheid voor in de databank van de corporaties, terwijl deze in de BAG vaak gezamenlijk een BAG-object vormen. Meenemen van de onzelfstandige eenheden zou dan tot percentages boven de 100 procent kunnen leiden.


Bouwperiodekaart

Bij het 90-jarig bestaan van de Amsterdamse Federatie van Woningcorporaties in 2007 werd een speciale bouwjarenkaart uitgebracht met zeven bouwperioden. Ter gelegenheid van het 100-jarige bestaan van de Federatie in 2017 is deze kaart aangevuld met de periode 2008-2016 en uitgebreid met de regio. De acht bouwperioden hebben niet dezelfde lengte, maar markeren omslagen in bouwstijl of bijzondere gebeurtenissen. Voor de kaart 2020 is de laatste bouwperiode verlengd tot en met 2019.

• Vóór 1909: De voorlopers van de woningcorporaties
• 1909 - 1918: De eerste woningwetwoningen
• 1919 - 1945: Periode `20 – `40
• 1946 - 1966: Vroeg naoorlogse stadsuitbreidingen
• 1967 - 1975: Hoogbouw
• 1976 - 1989: Stadsvernieuwing en uitbreiding
• 1990 - 2007: Differentiatie en menging in hoge dichtheid
• 2008 – 2019: Transformatie, duurzaamheid en tijdelijkheid als kans


Bronvermelding

Bron corporatiebezit: Databank, Amsterdamse Federatie van Woningcorporaties / Platform Woningcorporaties Noordvleugel Randstad (PWNR), peildatum 1-1-2020
Aangevuld met gegevens van de corporaties in de Metropoolregio Amsterdam die niet voorkomen in de databank van de AFWC.

Bron totaal aantal adressen Kadaster/BAG. Bouwjaar en bouwperiode zijn afkomstig van de betreffende corporatie aangevuld met de gegevens uit het Kadaster/BAG (panden met een onbekend bouwjaar worden niet ingekleurd).

Aan deze kaart kunnen geen rechten worden ontleend.",https://maps.amsterdam.nl/afwc_2020,PlainVectorRegion,ObjectDS,"Geometry: The layer maps housing corporation ownership per building block/part-block, but the polygons are sparse, low-fill, and not a complete regional partition; topology hints also suggest isolated regions rather than a tessellation. | Entity: The layer maps housing association properties / housing blocks as identifiable bounded real-world entities, with percentage and count attributes attached. The numeric fields are supporting attributes, not the main phenomenon, so this is not AmountDS. Decisive rule: PlainVectorRegion branch, Q7 ObjectDS (discrete managed places/objects).","The layer maps housing corporation ownership per building block/part-block, but the polygons are sparse, low-fill, and not a complete regional partition; topology hints also suggest isolated regions rather than a tessellation.","The layer maps housing association properties / housing blocks as identifiable bounded real-world entities, with percentage and count attributes attached. The numeric fields are supporting attributes, not the main phenomenon, so this is not AmountDS. Decisive rule: PlainVectorRegion branch, Q7 ObjectDS (discrete managed places/objects).",Region Q7 ObjectDS,,0.95,0.95,0.95,V4_NEWDATA_gpt
1,Archeologische beerputten,Archaeological cesspits,https://maps.amsterdam.nl/open_geodata/?k=273,https://maps.amsterdam.nl/archeologie,ARCHEO_BEERPUT_VONDST,PointDS,ObjectDS,Publiekskaart Archeologie,"Amsterdam kent een rijke verzameling aan archeologische vindplaatsen. Dit kunnen losse voorwerpen of scherven zijn maar ook allerlei structuren zoals afval- en ophogingslagen, funderingen, kelders, beerputten, verdedigingsmuren of gedempte waterwegen. Deze archeologische sporen zijn bijzonder omdat ze verbonden zijn met het dagelijkse leven vanaf het allereerste begin van de stad. De afgelopen 45 jaar heeft Monumenten en Archeologie bij bouwprojecten overal in de stad onderzoek uitgevoerd. Op deze kaart worden een selectie van vindplaatsen online toegankelijk gemaakt, in combinatie met vijf historische kaarten als onderlegger. 

Ieder vlakje op de kaart geeft een doorkijk naar de geschiedenis van die specifieke plek. Door op één van deze archeologische locaties te klikken verschijnen het adres, gegevens over het onderzoek en de vondsten, een foto en een verwijzing naar meer achtergrondinformatie. 

Disclaimer
De inhoud van deze kaart is niet volledig en niet up-to-date. De informatie is bedoeld voor een breed publiek en niet voor professionals
Monumenten en Archeologie (MenA) is de bronhouder van de aangeboden kaartlagen en dient vermeld te worden indien u verwijst naar deze kaartlagen.",https://maps.amsterdam.nl/archeologie,PointDS,ObjectDS,"Geometry: The layer contains 425 point features and the map description says each clickable location represents an archaeological site/pit, which is a point-based dataset. | Entity: The point layer represents discrete archaeological find locations/cesspits with addresses, photos, and descriptions of objects found there. This is a set of identifiable mapped objects/sites, not measurements, events, or a numeric amount layer.","The layer contains 425 point features and the map description says each clickable location represents an archaeological site/pit, which is a point-based dataset.","The point layer represents discrete archaeological find locations/cesspits with addresses, photos, and descriptions of objects found there. This is a set of identifiable mapped objects/sites, not measurements, events, or a numeric amount layer.",PointDS branch Q4A -> ObjectDS,,0.98,0.99,0.97,V4_NEWDATA_gpt
2,Archeologische waterbodems,Archaeological water soils,https://maps.amsterdam.nl/open_geodata/?k=274,https://maps.amsterdam.nl/archeologie,ARCHEO_WATERBODEMS,PointDS,ObjectDS,Publiekskaart Archeologie,"Amsterdam kent een rijke verzameling aan archeologische vindplaatsen. Dit kunnen losse voorwerpen of scherven zijn maar ook allerlei structuren zoals afval- en ophogingslagen, funderingen, kelders, beerputten, verdedigingsmuren of gedempte waterwegen. Deze archeologische sporen zijn bijzonder omdat ze verbonden zijn met het dagelijkse leven vanaf het allereerste begin van de stad. De afgelopen 45 jaar heeft Monumenten en Archeologie bij bouwprojecten overal in de stad onderzoek uitgevoerd. Op deze kaart worden een selectie van vindplaatsen online toegankelijk gemaakt, in combinatie met vijf historische kaarten als onderlegger. 

Ieder vlakje op de kaart geeft een doorkijk naar de geschiedenis van die specifieke plek. Door op één van deze archeologische locaties te klikken verschijnen het adres, gegevens over het onderzoek en de vondsten, een foto en een verwijzing naar meer achtergrondinformatie. 

Disclaimer
De inhoud van deze kaart is niet volledig en niet up-to-date. De informatie is bedoeld voor een breed publiek en niet voor professionals
Monumenten en Archeologie (MenA) is de bronhouder van de aangeboden kaartlagen en dient vermeld te worden indien u verwijst naar deze kaartlagen.",https://maps.amsterdam.nl/archeologie,PointDS,ObjectDS,"Geometry: The layer represents archaeological locations/points of interest, and the dataset contains only Point geometries (92/92). The map description also says each clickable location shows site details, supporting a point dataset. | Entity: The layer maps discrete archaeological find locations/spots with address-like locations, object codes, captions, and photos; the mapped features are identifiable archaeological objects/sites rather than measurements, networks, or full-area zones. PointDS branch Q4 -> ObjectDS applies.","The layer represents archaeological locations/points of interest, and the dataset contains only Point geometries (92/92). The map description also says each clickable location shows site details, supporting a point dataset.","The layer maps discrete archaeological find locations/spots with address-like locations, object codes, captions, and photos; the mapped features are identifiable archaeological objects/sites rather than measurements, networks, or full-area zones. PointDS branch Q4 -> ObjectDS applies.","PointDS branch, Q4 A (distinct real-world thing/place/object) -> ObjectDS",,0.975,0.99,0.96,V4_NEWDATA_gpt
3,Archeologische vindplaatsen,Archaeological sites,https://maps.amsterdam.nl/open_geodata/?k=101,https://maps.amsterdam.nl/archeologie,ARCHEOVINDPLAATSEN,PlainVectorRegion,ObjectDS,Publiekskaart Archeologie,"Amsterdam kent een rijke verzameling aan archeologische vindplaatsen. Dit kunnen losse voorwerpen of scherven zijn maar ook allerlei structuren zoals afval- en ophogingslagen, funderingen, kelders, beerputten, verdedigingsmuren of gedempte waterwegen. Deze archeologische sporen zijn bijzonder omdat ze verbonden zijn met het dagelijkse leven vanaf het allereerste begin van de stad. De afgelopen 45 jaar heeft Monumenten en Archeologie bij bouwprojecten overal in de stad onderzoek uitgevoerd. Op deze kaart worden een selectie van vindplaatsen online toegankelijk gemaakt, in combinatie met vijf historische kaarten als onderlegger. 

Ieder vlakje op de kaart geeft een doorkijk naar de geschiedenis van die specifieke plek. Door op één van deze archeologische locaties te klikken verschijnen het adres, gegevens over het onderzoek en de vondsten, een foto en een verwijzing naar meer achtergrondinformatie. 

Disclaimer
De inhoud van deze kaart is niet volledig en niet up-to-date. De informatie is bedoeld voor een breed publiek en niet voor professionals
Monumenten en Archeologie (MenA) is de bronhouder van de aangeboden kaartlagen en dient vermeld te worden indien u verwijst naar deze kaartlagen.",https://maps.amsterdam.nl/archeologie,PlainVectorRegion,ObjectDS,"Geometry: The layer contains polygon areas for archaeological sites, but they are selected site footprints/locations rather than a complete administrative or grid partition. Topology hints also show low fill ratios and only partial adjacency, which supports PlainVectorRegion. | Entity: The layer maps selected archaeological sites/vindplaatsen as identifiable bounded places with names, addresses, and site descriptions. It is not a full-area coverage or reporting-unit layer; the sites are the mapped things themselves, even though each record has time and investigation attributes.","The layer contains polygon areas for archaeological sites, but they are selected site footprints/locations rather than a complete administrative or grid partition. Topology hints also show low fill ratios and only partial adjacency, which supports PlainVectorRegion.","The layer maps selected archaeological sites/vindplaatsen as identifiable bounded places with names, addresses, and site descriptions. It is not a full-area coverage or reporting-unit layer; the sites are the mapped things themselves, even though each record has time and investigation attributes.",Region Q7 ObjectDS,,0.95,0.94,0.96,V4_NEWDATA_gpt
4,Barbecue,Barbecue,https://maps.amsterdam.nl/open_geodata/?k=319,https://maps.amsterdam.nl/bbq,BBQ,PlainVectorRegion,PatchDS,Barbecueën in parken en plantsoenen,"U ziet op deze kaart waar u wel en niet mag barbecueën. 
Op de rode plekken mag u niet barbecueën.
Op de gele plekken gebruikt u de aangewezen barbecueplekken.
U vindt alle barbecueregels op de website van de gemeente",https://maps.amsterdam.nl/bbq,PlainVectorRegion,PatchDS,"Geometry: The layer shows separate park/plantsoen barbecue rule areas, not a complete partition of Amsterdam. Polygon hints show no adjacency or shared boundaries and very low fill ratio, which supports isolated regions rather than a tessellation. | Entity: The layer maps park/green-space areas where barbecue is allowed, restricted, or forbidden; the polygons are selected policy/applicability zones rather than reporting units, full-area thematic coverage, or numeric amounts. Decisive rule: Region Q9 PatchDS.","The layer shows separate park/plantsoen barbecue rule areas, not a complete partition of Amsterdam. Polygon hints show no adjacency or shared boundaries and very low fill ratio, which supports isolated regions rather than a tessellation.","The layer maps park/green-space areas where barbecue is allowed, restricted, or forbidden; the polygons are selected policy/applicability zones rather than reporting units, full-area thematic coverage, or numeric amounts. Decisive rule: Region Q9 PatchDS.",Region Q9 PatchDS,,0.965,0.96,0.97,V4_NEWDATA_gpt
5,Beschermde stads- en dorpsgezichten,Conservation areas,https://maps.amsterdam.nl/open_geodata/?k=125,https://maps.amsterdam.nl/cultuurhistorie,BESCHERMDESTADSGEZICHTEN,PlainVectorRegion,PatchDS,Cultuurhistorische waarden,"De geschiedenis van een gebied kan een inspiratiebron zijn voor de ontwikkeling van de stad. Op deze kaart zijn gebiedsgericht cultuurhistorische waarden en historische stedenbouwkundige ontwikkelingen in beeld gebracht.

Cultuurhistorische waarden per gebied
Bij cultuurhistorische waarden gaat het over sporen, objecten, patronen en structuren die zichtbaar of niet zichtbaar onderdeel uitmaken van onze leefomgeving en een beeld geven van een historische situatie of ontwikkeling. In veel gevallen bepalen deze cultuurhistorische waarden de identiteit van een plek of gebied. Ze dragen bij aan een aantrekkelijke woonomgeving en vestigingsklimaat en bieden aanknopingspunten voor toekomstige ontwikkelingen. Het is daarom van belang deze cultuurhistorische waarden te betrekken in de planvorming en mee te wegen in de besluitvorming over de inrichting van een gebied (via bijvoorbeeld een bestemmingsplan, stedenbouwkundig plan of herinrichtingsplan voor de openbare ruimte). 

Per gebied kan doorgeklikt worden naar meer informatie over de historisch stedenbouwkundige ontwikkeling van een gebied en de bovengrondse cultuurhistorische waarden. Deze informatie is afkomstig uit de Cultuurhistorische Verkenningen (CHV’s) die door Bureau Monumenten & Archeologie zijn gemaakt. De CHV’s zijn meestal gemaakt in het kader van de actualisatie van een bestemmingsplan. Dit verklaart waarom de CHV’s nog niet heel Amsterdam beslaan en waarom de grenzen niet altijd overeenkomen met de historische bouwperiodes waarin de stad zich ontwikkelde. 

Gebieden met beschermde status
Een aantal gebieden in Amsterdam is zodanig van cultuurhistorische waarde dat daaraan een beschermde status is toegekend: UNESCO Werelderfgoed en rijks en gemeentelijk beschermde stads- en dorpsgezichten. De begrenzing van deze beschermde gebieden is op deze kaart te vinden met daaraan gekoppeld meer informatie. 

Bovengronds en ondergronds
De kaart is dynamisch en wordt regelmatig aangevuld met nieuwe informatie over de bovengrondse cultuurhistorie van de stad. Voor ondergrondse cultuurhistorische waarden kunt u terecht op de archeologische kaart: http://maps.amsterdam.nl/archeologie.

Bron beelden: BMA, Beeldbank Stadsarchief Amsterdam of zoals vermeld in de rapportages die u kunt downloaden.",https://maps.amsterdam.nl/cultuurhistorie,PlainVectorRegion,PatchDS,"Geometry: The layer contains 10 polygons representing separate protected conservation areas, not a complete partition of Amsterdam. Topology hints show no shared boundaries or adjacency, so this fits isolated region polygons rather than a tessellation. | Entity: The layer maps protected conservation areas / beschermd stads- en dorpsgezichten: selected bounded zones with a preservation status and policy/classification fields. This fits the region branch’s PatchDS rule for special applicability/phenomenon areas rather than reporting units or full-area coverage.","The layer contains 10 polygons representing separate protected conservation areas, not a complete partition of Amsterdam. Topology hints show no shared boundaries or adjacency, so this fits isolated region polygons rather than a tessellation.",The layer maps protected conservation areas / beschermd stads- en dorpsgezichten: selected bounded zones with a preservation status and policy/classification fields. This fits the region branch’s PatchDS rule for special applicability/phenomenon areas rather than reporting units or full-area coverage.,Region Q9 PatchDS,,0.945,0.95,0.94,V4_NEWDATA_gpt
6,Wilde bijen,Wild bees,https://maps.amsterdam.nl/open_geodata/?k=135,https://maps.amsterdam.nl/bijen,BIJEN,PointDS,AmountDS,Wilde bijen,"Wilde bijen

Wilde bijen zijn in 2014, 2015 en 2016 op een aantal locaties in Amsterdam geïnventariseerd. Dit is een herhaling van het onderzoek van 1998. Een uitgebreid verslag van de bevindingen van deze twee onderzoeken kunt u binnenkort hier vinden. In 2017 is op vijftien plaatsen in het Amsterdamse bos waargenomen. Het verslag vindt u hier.
Ook in 2017 is op een aantal plaatsen in Nieuwwest geïnventariseerd. Hier vindt u het bijbehorende verslag. 
In 2019 is er in elf stadsparken geïnventariseerd. Het verslag van dit onderzoek vindt u hier.",https://maps.amsterdam.nl/bijen,PointDS,EventDS,"Geometry: The layer is an observation/inventory map of wild bees at specific locations, and the dataset contains only Point geometries (213 points). | Entity: The layer maps wild bee inventories/observations carried out in specific years at locations, so the mapped phenomenon is survey occurrences over time rather than the locations themselves. Time-field presence supports this, and the map description explicitly says the bees were inventoried and observed in different years.","The layer is an observation/inventory map of wild bees at specific locations, and the dataset contains only Point geometries (213 points).","The layer maps wild bee inventories/observations carried out in specific years at locations, so the mapped phenomenon is survey occurrences over time rather than the locations themselves. Time-field presence supports this, and the map description explicitly says the bees were inventoried and observed in different years.",Q2 EventDS priority check,,0.975,0.99,0.96,V4_NEWDATA_gpt
7,Honingbijen,Honey bees,https://maps.amsterdam.nl/open_geodata/?k=136,https://maps.amsterdam.nl/honingbijen,BIJEN_HONING,PointDS,AmountDS,Honingbijen,"Op elke locatie staan een x-aantal bijenkasten = bijenvolken.

De dataset voor deze kaart wordt regelmatig 'bijgewerkt'. 
U kunt zelf wijzigingen of aanvullingen mailen naar onderstaand contactpersoon.",https://maps.amsterdam.nl/honingbijen,PointDS,AmountDS,"Geometry: The layer describes honey bee locations, and all 111 features are points. This is a point dataset of mapped locations rather than lines or areas. | Entity: The layer maps honey-bee locations with the main thematic content being the number of hives/colonies at each point (""aantal kasten/volken""); the point features are carriers for a numeric quantity, so the numeric magnitude is the mapped phenomenon. Decisive rule: Point Amount check -> AmountDS.","The layer describes honey bee locations, and all 111 features are points. This is a point dataset of mapped locations rather than lines or areas.","The layer maps honey-bee locations with the main thematic content being the number of hives/colonies at each point (""aantal kasten/volken""); the point features are carriers for a numeric quantity, so the numeric magnitude is the mapped phenomenon. Decisive rule: Point Amount check -> AmountDS.",Point Amount check,,0.98,0.99,0.97,V4_NEWDATA_gpt
8,Bodemkwaliteit,Soil quality,https://maps.amsterdam.nl/open_geodata/?k=57,https://maps.amsterdam.nl/bodemkwaliteit,BODEMKWALITEIT,PlainVectorRegion,PatchDS,Bodemkwaliteit,"De Bodemkwaliteitskaart geeft informatie over de diffuse bodemkwaliteit in zones.
Binnen een zone is de gemiddelde kwaliteit min of meer gelijk, terwijl er tussen zones duidelijke verschillen in kwaliteit kunnen zijn.
De kaarten worden in Amsterdam gebruikt voor het bepalen van de mogelijkheden van hergebruik voor vrijkomende grond of gekeurde grond.
Ze zijn bedoeld voor iedereen die van plan is grond toe te passen in Amsterdam (stadsdelen, aannemers, adviesbureau`s, etc.). 

De kaart geldt niet voor lokaties die historisch zijn belast door puntbronnen (bijv. fabriekslokaties of benzinestations).
Daarom dient vóór het gebruik van de kaart altijd een historisch onderzoek te worden uitgevoerd om te weten of de herkomst- of toepassingslokatie niet historisch belast is.",https://maps.amsterdam.nl/bodemkwaliteit,VectorTessellation,PatchDS,"Geometry: The layer is a zoned soil-quality map with many adjacent polygons that partition the area into diffuse quality zones, and topology hints show strong shared boundaries and no overlap, which fits a tessellation. | Entity: The layer maps soil-quality zones: bounded areas where soil quality classifications and reuse rules apply. The polygons are not reporting units or full exhaustive land-cover classes, and the numeric/zone fields are attributes of these zones rather than the main phenomenon. VectorTessellation branch, PatchDS check decisive.","The layer is a zoned soil-quality map with many adjacent polygons that partition the area into diffuse quality zones, and topology hints show strong shared boundaries and no overlap, which fits a tessellation.","The layer maps soil-quality zones: bounded areas where soil quality classifications and reuse rules apply. The polygons are not reporting units or full exhaustive land-cover classes, and the numeric/zone fields are attributes of these zones rather than the main phenomenon. VectorTessellation branch, PatchDS check decisive.",Region Q9 PatchDS,,0.97,0.98,0.96,V4_NEWDATA_gpt
9,Bomen (deel 1),Trees (part 1),https://maps.amsterdam.nl/open_geodata/?k=254,https://maps.amsterdam.nl/bomen,BOMEN,PointDS,ObjectDS,Bomen,"Zie bomen.amsterdam.nl voor uitgebreide informatie over de bomen.


De weergave van bomen op deze kaart is niet `real-time`. Op deze kaart kunnen bomen staan die inmiddels zijn omgewaaid of gekapt. In vrijwel alle gevallen wordt een omgewaaide of gekapte boom herplant. Zodra de boom geplant is en onze inspecteurs weer hun ronde doen (om de drie jaar) komt de boom weer op de kaart.

Deze Maps-kaart maakt gebruik van een Web Map Service (WMS) van het gemeentelijk Datapunt. Deze WMS is verbonden met de dataset van het gemeentelijk beheersysteem GISIB. De kaart van het Datapunt is identiek aan deze kaart op Maps Amsterdam.",https://maps.amsterdam.nl/bomen,PointDS,ObjectDS,"Geometry: The layer represents individual trees as point features; the metadata and map description are about tree locations, and the geometry count is entirely Point. | Entity: The layer maps individual trees as discrete point objects with species, type, height, owner, and plant year attributes; the numeric fields are identifiers/attributes, not the main phenomenon. Decisive rule: PointDS branch Q4A -> ObjectDS.","The layer represents individual trees as point features; the metadata and map description are about tree locations, and the geometry count is entirely Point.","The layer maps individual trees as discrete point objects with species, type, height, owner, and plant year attributes; the numeric fields are identifiers/attributes, not the main phenomenon. Decisive rule: PointDS branch Q4A -> ObjectDS.","PointDS branch, Q4A ObjectDS",,0.985,0.99,0.98,V4_NEWDATA_gpt
