RowIndex,Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,GPTGeometry,GPTEntity,GPTReasoningSummary,GPTError,GPTConfidence,RunID
0,Corporatiebezit AFWC 2020,Housing association property AFWC 2020,https://maps.amsterdam.nl/open_geodata/?k=208,https://maps.amsterdam.nl/afwc_2020,AFWC_2020,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"Polygons represent housing association property areas/blocks as discrete real-world objects, not a tessellation or reporting units; the numeric fields are attributes, so ObjectDS.",,0.98,multi_shot_gpt
1,Archeologische beerputten,Archaeological cesspits,https://maps.amsterdam.nl/open_geodata/?k=273,https://maps.amsterdam.nl/archeologie,ARCHEO_BEERPUT_VONDST,PointDS,ObjectDS,PointDS,ObjectDS,"Point features represent individual archaeological cesspits/find spots as discrete mapped objects, not measurements or events.",,0.99,multi_shot_gpt
2,Archeologische waterbodems,Archaeological water soils,https://maps.amsterdam.nl/open_geodata/?k=274,https://maps.amsterdam.nl/archeologie,ARCHEO_WATERBODEMS,PointDS,ObjectDS,PointDS,ObjectDS,"Point features mark individual archaeological finds/sites with object codes and descriptions; this is a set of mapped objects, not measurements or events.",,0.97,multi_shot_gpt
3,Archeologische vindplaatsen,Archaeological sites,https://maps.amsterdam.nl/open_geodata/?k=101,https://maps.amsterdam.nl/archeologie,ARCHEOVINDPLAATSEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"Polygon features represent archaeological sites/vindplaatsen as discrete mapped objects, not a reporting unit or full-area coverage; ObjectDS fits the named site/object interpretation.",,0.98,multi_shot_gpt
4,Barbecue,Barbecue,https://maps.amsterdam.nl/open_geodata/?k=319,https://maps.amsterdam.nl/bbq,BBQ,PlainVectorRegion,ObjectDS,PlainVectorRegion,PatchDS,"Polygon areas represent barbecue restriction/applicability zones in parks, so this is a bounded patch rather than a tessellation or object; the decisive rule is PatchDS for zones where a condition applies.",,0.99,multi_shot_gpt
5,Beschermde stads- en dorpsgezichten,Conservation areas,https://maps.amsterdam.nl/open_geodata/?k=125,https://maps.amsterdam.nl/cultuurhistorie,BESCHERMDESTADSGEZICHTEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,PatchDS,Polygons are conservation areas rather than reporting units or full tessellations; the decisive rule is PatchDS for bounded protected zones where a preservation condition applies.,,0.98,multi_shot_gpt
6,Wilde bijen,Wild bees,https://maps.amsterdam.nl/open_geodata/?k=135,https://maps.amsterdam.nl/bijen,BIJEN,PointDS,AmountDS,PointDS,EventDS,"Point features with observed bee records; the year field shows occurrence/observation timing, so this is best treated as event-like observations at points.",,0.86,multi_shot_gpt
7,Honingbijen,Honey bees,https://maps.amsterdam.nl/open_geodata/?k=136,https://maps.amsterdam.nl/honingbijen,BIJEN_HONING,PointDS,AmountDS,PointDS,AmountDS,"Point layer where the mapped phenomenon is the numeric amount of honey bee colonies/hives at each location, so PointDS + AmountDS.",,0.98,multi_shot_gpt
8,Bodemkwaliteit,Soil quality,https://maps.amsterdam.nl/open_geodata/?k=57,https://maps.amsterdam.nl/bodemkwaliteit,BODEMKWALITEIT,PlainVectorRegion,PatchDS,VectorTessellation,LatticeDS,"Polygon layer of soil-quality zones/areas with reporting-unit terms like gebiednummer, zone, and statistische kentallen; the regions function as statistical/reporting units, so VectorTessellation + LatticeDS.",,0.95,multi_shot_gpt
9,Bomen (deel 1),Trees (part 1),https://maps.amsterdam.nl/open_geodata/?k=254,https://maps.amsterdam.nl/bomen,BOMEN,PointDS,ObjectDS,PointDS,ObjectDS,"Points represent individual trees as identifiable objects; numeric fields are attributes of each tree, not the main mapped phenomenon.",,0.99,multi_shot_gpt
