RowIndex,Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,GPTGeometry,GPTEntity,GPTReasoningSummary,GPTError,GPTConfidence,RunID
0,Corporatiebezit AFWC 2020,Housing association property AFWC 2020,https://maps.amsterdam.nl/open_geodata/?k=208,https://maps.amsterdam.nl/afwc_2020,AFWC_2020,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The dataset represents individual housing blocks managed by housing associations ('Corporatiebezit'). As these represent discrete, identifiable physical assets (building blocks), they are classified as ObjectDS and PlainVectorRegion.",,0.95,Baseline_gemini
1,Archeologische beerputten,Archaeological cesspits,https://maps.amsterdam.nl/open_geodata/?k=273,https://maps.amsterdam.nl/archeologie,ARCHEO_BEERPUT_VONDST,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps specific archaeological finds and cesspits as point locations. These are discrete, identifiable real-world objects/assets, classifying them as ObjectDS under the PointDS geometry.",,1.0,Baseline_gemini
2,Archeologische waterbodems,Archaeological water soils,https://maps.amsterdam.nl/open_geodata/?k=274,https://maps.amsterdam.nl/archeologie,ARCHEO_WATERBODEMS,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset represents distinct archaeological objects found in water soils, each mapped as a specific point location. These are identifiable real-world assets rather than measurements, networks, or reporting units.",,1.0,Baseline_gemini
3,Archeologische vindplaatsen,Archaeological sites,https://maps.amsterdam.nl/open_geodata/?k=101,https://maps.amsterdam.nl/archeologie,ARCHEOVINDPLAATSEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The dataset represents discrete archeological sites (objects) depicted as polygons showing their specific footprints. These do not form a complete tessellation of the city, nor is this an aggregate lattice, therefore it is classified as ObjectDS under PlainVectorRegion geometry.",,1.0,Baseline_gemini
4,Barbecue,Barbecue,https://maps.amsterdam.nl/open_geodata/?k=319,https://maps.amsterdam.nl/bbq,BBQ,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The dataset maps specific parks (discrete objects) in Amsterdam and their associated BBQ policies. Since these parks are individual bounded sites and not an exhaustive partition of the city, it is a PlainVectorRegion of ObjectDS.",,0.9,Baseline_gemini
5,Beschermde stads- en dorpsgezichten,Conservation areas,https://maps.amsterdam.nl/open_geodata/?k=125,https://maps.amsterdam.nl/cultuurhistorie,BESCHERMDESTADSGEZICHTEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The polygons represent specific named conservation areas (e.g., Van Eesteren Museum, Amsterdam-Noord), which are treated as identifiable, managed historical assets rather than an exhaustive coverage or reporting lattice.",,0.9,Baseline_gemini
6,Wilde bijen,Wild bees,https://maps.amsterdam.nl/open_geodata/?k=135,https://maps.amsterdam.nl/bijen,BIJEN,PointDS,AmountDS,PointDS,EventDS,"The points represent specific occurrences of bee observations at specific locations and years, effectively acting as records of biological events.",,0.9,Baseline_gemini
7,Honingbijen,Honey bees,https://maps.amsterdam.nl/open_geodata/?k=136,https://maps.amsterdam.nl/honingbijen,BIJEN_HONING,PointDS,AmountDS,PointDS,ObjectDS,"The points represent specific honey bee hive locations (facilities/assets). While they contain attributes regarding the number of hives/colonies, they are identified as discrete objects rather than purely statistical measurement points or numeric magnitude maps.",,0.9,Baseline_gemini
8,Bodemkwaliteit,Soil quality,https://maps.amsterdam.nl/open_geodata/?k=57,https://maps.amsterdam.nl/bodemkwaliteit,BODEMKWALITEIT,PlainVectorRegion,PatchDS,VectorTessellation,CoverageDS,"The layer partitions the city into soil quality zones and functional categories, representing an exhaustive thematic classification of the study area, which corresponds to CoverageDS.",,0.9,Baseline_gemini
9,Bomen (deel 1),Trees (part 1),https://maps.amsterdam.nl/open_geodata/?k=254,https://maps.amsterdam.nl/bomen,BOMEN,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual trees as point locations, representing distinct real-world assets (objects) managed by the municipality.",,1.0,Baseline_gemini
