RowIndex,Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,GPTGeometry,GPTEntity,GPTReasoningSummary,GPTError,GPTConfidence,RunID
0,Corporatiebezit AFWC 2020,Housing association property AFWC 2020,https://maps.amsterdam.nl/open_geodata/?k=208,https://maps.amsterdam.nl/afwc_2020,AFWC_2020,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The polygons represent housing blocks belonging to housing associations. Even if they have numeric attributes, each polygon is a specific managed asset/facility (a housing complex/building block), fitting the criteria for ObjectDS.",,0.9,multi_shot_gemini
1,Archeologische beerputten,Archaeological cesspits,https://maps.amsterdam.nl/open_geodata/?k=273,https://maps.amsterdam.nl/archeologie,ARCHEO_BEERPUT_VONDST,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual archaeological finds and cesspits at specific point locations. Each point represents a distinct, identifiable historical object or feature, fitting the definition of ObjectDS.",,1.0,multi_shot_gemini
2,Archeologische waterbodems,Archaeological water soils,https://maps.amsterdam.nl/open_geodata/?k=274,https://maps.amsterdam.nl/archeologie,ARCHEO_WATERBODEMS,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual archaeological finds at specific locations. Each point represents a distinct, countable real-world object (artifact) identified by an object code, making it an ObjectDS.",,1.0,multi_shot_gemini
3,Archeologische vindplaatsen,Archaeological sites,https://maps.amsterdam.nl/open_geodata/?k=101,https://maps.amsterdam.nl/archeologie,ARCHEOVINDPLAATSEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The dataset maps individual archaeological sites, each representing a distinct, identifiable historical project or location documented via research/excavations. This qualifies as ObjectDS.",,1.0,multi_shot_gemini
4,Barbecue,Barbecue,https://maps.amsterdam.nl/open_geodata/?k=319,https://maps.amsterdam.nl/bbq,BBQ,PlainVectorRegion,ObjectDS,PlainVectorRegion,PatchDS,"The layer maps areas (parks/places) where specific barbecue policies, restrictions, or prohibitions apply. Since these polygons delineate areas of applicability for regulations rather than being the parks themselves as managed assets (the objects), PatchDS is the most appropriate entity classification.",,0.9,multi_shot_gemini
5,Beschermde stads- en dorpsgezichten,Conservation areas,https://maps.amsterdam.nl/open_geodata/?k=125,https://maps.amsterdam.nl/cultuurhistorie,BESCHERMDESTADSGEZICHTEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The layer represents 'protected city and village views' which are official, named, and managed historical/cultural heritage areas in Amsterdam. These are treated as distinct, bounded conservation entities (ObjectDS) rather than generic policy patches.",,0.9,multi_shot_gemini
6,Wilde bijen,Wild bees,https://maps.amsterdam.nl/open_geodata/?k=135,https://maps.amsterdam.nl/bijen,BIJEN,PointDS,AmountDS,PointDS,EventDS,"The points represent biological observations (wild bee sightings) at specific locations over specific years, characterizing them as events or records of occurrence.",,0.9,multi_shot_gemini
7,Honingbijen,Honey bees,https://maps.amsterdam.nl/open_geodata/?k=136,https://maps.amsterdam.nl/honingbijen,BIJEN_HONING,PointDS,AmountDS,PointDS,ObjectDS,"The layer represents discrete point locations (beehive sites/apiaries) in Amsterdam. Although numeric counts exist for the hives, the features are primarily objects (facilities/locations) rather than amount-based phenomena.",,0.9,multi_shot_gemini
8,Bodemkwaliteit,Soil quality,https://maps.amsterdam.nl/open_geodata/?k=57,https://maps.amsterdam.nl/bodemkwaliteit,BODEMKWALITEIT,PlainVectorRegion,PatchDS,VectorTessellation,CoverageDS,"The dataset categorizes the entire study area based on soil quality zones and functions (e.g., 'Zone 1', 'Industrie'), creating an exhaustive thematic coverage of Amsterdam. This qualifies as a VectorTessellation of coverage categories.",,0.9,multi_shot_gemini
9,Bomen (deel 1),Trees (part 1),https://maps.amsterdam.nl/open_geodata/?k=254,https://maps.amsterdam.nl/bomen,BOMEN,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual trees as points, which are identifiable, discrete real-world objects. Attributes like plant year and species are details about each specific object.",,1.0,multi_shot_gemini
10,Bomen (deel 2),Trees (part 2),https://maps.amsterdam.nl/open_geodata/?k=255,https://maps.amsterdam.nl/bomen,BOMEN_2,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual trees, which are discrete, real-world assets/objects. PointDS is the correct geometry for point-based locations, and ObjectDS is the correct entity type for identifiable physical objects.",,1.0,multi_shot_gemini
11,Bomen (deel 3),Trees (part 3),https://maps.amsterdam.nl/open_geodata/?k=256,https://maps.amsterdam.nl/bomen,BOMEN_3,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset contains points representing individual trees, which are distinct, countable real-world assets. Each point is a managed object with attributes such as tree species, height, and plant year.",,1.0,multi_shot_gemini
12,Bomen (deel 4),Trees (part 4),https://maps.amsterdam.nl/open_geodata/?k=257,https://maps.amsterdam.nl/bomen,BOMEN_4,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual trees, which are distinct, identifiable, countable real-world objects. Each point represents a single tree.",,1.0,multi_shot_gemini
13,Buurtcompost,Neighborhood compost,https://maps.amsterdam.nl/open_geodata/?k=228,https://maps.amsterdam.nl/buurtcompost,BUURTCOMPOST,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual neighborhood compost locations (facilities/assets), each with specific attributes like initiator and usage. Following the branching logic for points, these represent real-world objects rather than measurements or events.",,1.0,multi_shot_gemini
14,Cameragebieden,Camera areas,https://maps.amsterdam.nl/open_geodata/?k=149,https://maps.amsterdam.nl/overlast,CAMERAGEBIEDEN,PlainVectorRegion,ExistenceDS,PlainVectorRegion,PatchDS,"The dataset represents areas where camera surveillance (a policy or condition) is applied. These areas function as surveillance zones rather than distinct objects or reporting units, making PatchDS the most appropriate classification.",,0.9,multi_shot_gemini
15,Canadese populieren,Canadian poplars,https://maps.amsterdam.nl/open_geodata/?k=232,https://maps.amsterdam.nl/canadese_populieren,CANADESE_POPULIEREN,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual trees (represented as points), which are clearly identifiable real-world objects. The inclusion of attributes such as tree type and measure planning describes these specific objects.",,1.0,multi_shot_gemini
16,Sensoren Crowd Monitoring Systeem Amsterdam,Sensors Crowd Monitoring System Amsterdam,https://maps.amsterdam.nl/open_geodata/?k=264,https://maps.amsterdam.nl/cmsa,CROWDSENSOREN,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset represents distinct sensor units (telcamera, WiFi sensor) at specific point locations. These are identifiable real-world assets/facilities, making them ObjectDS.",,1.0,multi_shot_gemini
17,Cultuurhistorische verkenningen,Cultural historic explorations,https://maps.amsterdam.nl/open_geodata/?k=126,https://maps.amsterdam.nl/cultuurhistorie,CULTUURHISTORIE_VERKENNINGEN,PlainVectorRegion,EventDS,PlainVectorRegion,ObjectDS,"The polygons represent specific named areas (e.g., Westergasfabriekterrein, Bos en Lommerplein) that are the subjects of individual cultural-historic studies, acting as bounded project sites rather than reporting units or policy patches.",,0.9,multi_shot_gemini
18,Duizendknoop,Knotweed,https://maps.amsterdam.nl/open_geodata/?k=247,https://maps.amsterdam.nl/duizendknoop,DUIZENDKNOOP,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset represents point locations of individual knotweed patches (identified as discrete objects/facilities of study), each with its own descriptive attributes like species type and photographic records. Even though surface area is provided as an attribute, the primary entity is the object (the infestation site) being mapped.",,1.0,multi_shot_gemini
19,Ecopassages,Ecopassages,https://maps.amsterdam.nl/open_geodata/?k=63,https://maps.amsterdam.nl/ecopassages,ECOPASSAGES,PointDS,ObjectDS,PointDS,ObjectDS,"The layer represents ecopassages and bottleneck locations as discrete point features. Each point refers to a specific infrastructure facility or managed location (e.g., bridge, fauna passage, wildrooster). These are treated as distinct assets, making ObjectDS the most appropriate classification.",,1.0,multi_shot_gemini
20,Energie - Potentiele gebieden windenergie,Energy - Potential areas of wind energy,https://maps.amsterdam.nl/open_geodata/?k=96,https://maps.amsterdam.nl/energie_zonwind,ENERGIE_WINDVISIE,PlainVectorRegion,AmountDS,PlainVectorRegion,PatchDS,"The map depicts specific potential areas designated for wind energy development. These polygons represent defined zones or phenomenon extents where a particular land-use policy or potential activity applies, rather than being discrete managed objects or a full-area classification. Therefore, it is classified as a PatchDS.",,0.9,multi_shot_gemini
21,Verkiezingen Europarlement 2019,Elections Europarliament 2019,https://maps.amsterdam.nl/open_geodata/?k=282,https://maps.amsterdam.nl/europarlement2019,EP19,PointDS,ObjectDS,PointDS,AmountDS,"The dataset maps election results (counts and percentages) for specific polling locations (points). Following the Point Amount check, since numeric magnitudes (votes/percentages) are the main mapped phenomenon per location, it is classified as AmountDS.",,1.0,multi_shot_gemini
22,Eikenprocessierups (nesten),Oak processionary caterpillar (nesting),https://maps.amsterdam.nl/open_geodata/?k=67,https://maps.amsterdam.nl/eikenprocessierups,EPR_NESTEN,PointDS,ObjectDS,PointDS,ObjectDS,"Each point represents a specific tree (identified by Boom_ID) where oak processionary caterpillar nests have been identified, making this a dataset of point-based objects.",,1.0,multi_shot_gemini
23,Fietstaxi - gebieden,Pedicabs - areas,https://maps.amsterdam.nl/open_geodata/?k=140,https://maps.amsterdam.nl/fietstaxi,FIETSTAXI,PlainVectorRegion,PatchDS,PlainVectorRegion,PatchDS,"The dataset maps areas with specific regulations, restrictions, and time-based policies for pedicabs (fietstaxi). These are clearly policy/restriction zones rather than discrete objects or reporting units, making PatchDS the correct entity.",,1.0,multi_shot_gemini
