RowIndex,Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,GPTGeometry,GPTEntity,GPTReasoningSummary,GPTError,GPTConfidence,RunID
0,Corporatiebezit AFWC 2020,Housing association property AFWC 2020,https://maps.amsterdam.nl/open_geodata/?k=208,https://maps.amsterdam.nl/afwc_2020,AFWC_2020,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The dataset represents housing blocks managed by housing associations. Each polygon is an identifiable, discrete real-world managed asset (a housing block), making ObjectDS the most appropriate classification, even with numeric attributes like dwelling counts.",,0.9,V2_gemini
1,Archeologische beerputten,Archaeological cesspits,https://maps.amsterdam.nl/open_geodata/?k=273,https://maps.amsterdam.nl/archeologie,ARCHEO_BEERPUT_VONDST,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps specific archaeological cesspits and individual archaeological finds as distinct point locations, fitting the definition of an ObjectDS.",,1.0,V2_gemini
2,Archeologische waterbodems,Archaeological water soils,https://maps.amsterdam.nl/open_geodata/?k=274,https://maps.amsterdam.nl/archeologie,ARCHEO_WATERBODEMS,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual archaeological finds at specific point locations, where each point represents a distinct, countable object with its own object code and descriptive metadata. It falls under the ObjectDS category per the Branch A decision rules.",,1.0,V2_gemini
3,Archeologische vindplaatsen,Archaeological sites,https://maps.amsterdam.nl/open_geodata/?k=101,https://maps.amsterdam.nl/archeologie,ARCHEOVINDPLAATSEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The map layer displays distinct, identifiable archaeological sites, each treated as a managed entity or project site with specific names, addresses, and research details. These are real-world objects rather than arbitrary zones or reporting units, fitting the ObjectDS criteria.",,0.9,V2_gemini
4,Barbecue,Barbecue,https://maps.amsterdam.nl/open_geodata/?k=319,https://maps.amsterdam.nl/bbq,BBQ,PlainVectorRegion,ObjectDS,PlainVectorRegion,PatchDS,"The dataset maps specific areas (parks or sections) where barbecue regulations (policies or restrictions) apply. Since these areas are defined by the policy, they function as policy-based patches rather than as discrete, singular managed facilities being mapped for their own sake.",,0.95,V2_gemini
5,Beschermde stads- en dorpsgezichten,Conservation areas,https://maps.amsterdam.nl/open_geodata/?k=125,https://maps.amsterdam.nl/cultuurhistorie,BESCHERMDESTADSGEZICHTEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The dataset represents specific designated conservation areas (protected city/village views). These are named, discrete, managed historical/cultural assets or sites with specific legal designations. They are treated as distinct entities rather than just generalized patches or zones.",,0.9,V2_gemini
6,Wilde bijen,Wild bees,https://maps.amsterdam.nl/open_geodata/?k=135,https://maps.amsterdam.nl/bijen,BIJEN,PointDS,AmountDS,PointDS,ObjectDS,"The map uses point features to represent specific locations where wild bees have been observed. These locations (parks, streets, etc.) are treated as distinct sites (objects) where these biological observations took place, rather than a continuous sampling of a phenomenon or an amount-based dataset.",,0.9,V2_gemini
7,Honingbijen,Honey bees,https://maps.amsterdam.nl/open_geodata/?k=136,https://maps.amsterdam.nl/honingbijen,BIJEN_HONING,PointDS,AmountDS,PointDS,ObjectDS,"The dataset maps point locations of honey bee hives (apiaries). These are discrete, identifiable, real-world objects/facilities, and the numeric attributes describe the number of hives at each location rather than the location being a measurement of a continuous field or an abstract quantity.",,0.9,V2_gemini
8,Bodemkwaliteit,Soil quality,https://maps.amsterdam.nl/open_geodata/?k=57,https://maps.amsterdam.nl/bodemkwaliteit,BODEMKWALITEIT,PlainVectorRegion,PatchDS,PlainVectorRegion,CoverageDS,"The map displays zones of soil quality (Bodemkwaliteit) across the city. These zones categorize land based on specific soil functions and quality levels (e.g., Wonen, Industrie, Achtergrondwaarde). This layer represents an area-wide thematic classification of land, which falls under CoverageDS.",,0.9,V2_gemini
9,Bomen (deel 1),Trees (part 1),https://maps.amsterdam.nl/open_geodata/?k=254,https://maps.amsterdam.nl/bomen,BOMEN,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual trees as points, which are clearly discrete, identifiable, real-world objects. The inclusion of tree-specific metadata like species, height, and plant year confirms that these are managed assets rather than measurements of a continuous phenomenon.",,1.0,V2_gemini
