RowIndex,Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,GPTGeometry,GPTEntity,GPTReasoningSummary,GPTError,GPTConfidence,RunID
0,Corporatiebezit AFWC 2020,Housing association property AFWC 2020,https://maps.amsterdam.nl/open_geodata/?k=208,https://maps.amsterdam.nl/afwc_2020,AFWC_2020,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"Polygon footprints represent housing association-owned buildings/complexes, not a full tessellation. The decisive rule is object: discrete managed property parcels with numeric attributes, so not AmountDS.",,0.94,Baseline_gpt
1,Archeologische beerputten,Archaeological cesspits,https://maps.amsterdam.nl/open_geodata/?k=273,https://maps.amsterdam.nl/archeologie,ARCHEO_BEERPUT_VONDST,PointDS,ObjectDS,PointDS,ObjectDS,"Point features represent identifiable archaeological cesspits and finds at addresses; this is a set of discrete objects, not measurements or events.",,0.98,Baseline_gpt
2,Archeologische waterbodems,Archaeological water soils,https://maps.amsterdam.nl/open_geodata/?k=274,https://maps.amsterdam.nl/archeologie,ARCHEO_WATERBODEMS,PointDS,ObjectDS,PointDS,ObjectDS,Point features mark discrete archaeological finds/locations with object codes and captions; this is best treated as identifiable objects rather than measures or events.,,0.98,Baseline_gpt
3,Archeologische vindplaatsen,Archaeological sites,https://maps.amsterdam.nl/open_geodata/?k=101,https://maps.amsterdam.nl/archeologie,ARCHEOVINDPLAATSEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"Polygons mark discrete archaeological sites/vindplaatsen with names, addresses, and descriptions, so the layer represents identifiable bounded objects rather than a tessellation, coverage, or patch.",,0.98,Baseline_gpt
4,Barbecue,Barbecue,https://maps.amsterdam.nl/open_geodata/?k=319,https://maps.amsterdam.nl/bbq,BBQ,PlainVectorRegion,ObjectDS,PlainVectorRegion,PatchDS,"Polygons mark selected park/area zones with BBQ restrictions, not a full tessellation or reporting units. The decisive entity rule is patch: bounded phenomenon areas with categorical BBQ status.",,0.97,Baseline_gpt
5,Beschermde stads- en dorpsgezichten,Conservation areas,https://maps.amsterdam.nl/open_geodata/?k=125,https://maps.amsterdam.nl/cultuurhistorie,BESCHERMDESTADSGEZICHTEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"Polygon layer of named conservation areas/protected city and village views; these are discrete bounded heritage objects, not a full tessellation or reporting unit.",,0.95,Baseline_gpt
6,Wilde bijen,Wild bees,https://maps.amsterdam.nl/open_geodata/?k=135,https://maps.amsterdam.nl/bijen,BIJEN,PointDS,AmountDS,PointDS,EventDS,"Point layer of wild bee observations with year attributes; the decisive rule is event/occurrence over time at point locations, not point objects or amounts.",,0.93,Baseline_gpt
7,Honingbijen,Honey bees,https://maps.amsterdam.nl/open_geodata/?k=136,https://maps.amsterdam.nl/honingbijen,BIJEN_HONING,PointDS,AmountDS,PointDS,ObjectDS,"Point features represent honey bee locations/apiaries as distinct countable objects; the numeric hive/colony fields are attributes, not the main mapped phenomenon.",,0.95,Baseline_gpt
8,Bodemkwaliteit,Soil quality,https://maps.amsterdam.nl/open_geodata/?k=57,https://maps.amsterdam.nl/bodemkwaliteit,BODEMKWALITEIT,PlainVectorRegion,PatchDS,PlainVectorRegion,CoverageDS,"Polygon regions classify soil-quality categories by area (zones like Zone 1/2, saneringsgebied, infrastructuur) rather than reporting units; this is a full-area thematic coverage, not a tessellation of administrative units or discrete objects.",,0.91,Baseline_gpt
9,Bomen (deel 1),Trees (part 1),https://maps.amsterdam.nl/open_geodata/?k=254,https://maps.amsterdam.nl/bomen,BOMEN,PointDS,ObjectDS,PointDS,ObjectDS,"Point layer of individual trees; each point is a distinct real-world object with attributes like species, planting year, and owner, so this is ObjectDS.",,0.99,Baseline_gpt
