Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,GPTConfidence,GPTReasoningSummary,GPTError
Corporatiebezit AFWC 2020,Housing association property AFWC 2020,https://maps.amsterdam.nl/open_geodata/?k=208,https://maps.amsterdam.nl/afwc_2020,AFWC_2020,PlainVectorRegion,ObjectDS,0.92,"Polygon features mark identifiable housing association property parcels/buildings, not a tessellated reporting zone. The decisive rule is object: these are bounded real-world properties with ownership/house counts.",
Archeologische beerputten,Archaeological cesspits,https://maps.amsterdam.nl/open_geodata/?k=273,https://maps.amsterdam.nl/archeologie,ARCHEO_BEERPUT_VONDST,PointDS,ObjectDS,0.96,"Point features mark individual archaeological cesspits/finds at specific addresses, so the geometry is PointDS and the main entity is identifiable real-world objects rather than amounts or events.",
Archeologische waterbodems,Archaeological water soils,https://maps.amsterdam.nl/open_geodata/?k=274,https://maps.amsterdam.nl/archeologie,ARCHEO_WATERBODEMS,PointDS,ObjectDS,0.92,"The layer is a point FeatureCollection of archaeological finds/locations. Each point marks a distinct object or find spot (object codes, photos, descriptions), so PointDS + ObjectDS fits best.",
Archeologische vindplaatsen,Archaeological sites,https://maps.amsterdam.nl/open_geodata/?k=101,https://maps.amsterdam.nl/archeologie,ARCHEOVINDPLAATSEN,PlainVectorRegion,ObjectDS,0.95,"Polygon features mark individual archaeological sites/vindplaatsen with names, addresses, and descriptions; they are selected bounded objects, not a tessellation or full-area coverage.",
Barbecue,Barbecue,https://maps.amsterdam.nl/open_geodata/?k=319,https://maps.amsterdam.nl/bbq,BBQ,PlainVectorRegion,ObjectDS,0.95,"Polygon regions mark named parks and green spaces with BBQ rules; these are identifiable bounded objects, not a tessellated reporting layer or full-area coverage.",
Beschermde stads- en dorpsgezichten,Conservation areas,https://maps.amsterdam.nl/open_geodata/?k=125,https://maps.amsterdam.nl/cultuurhistorie,BESCHERMDESTADSGEZICHTEN,PlainVectorRegion,ObjectDS,0.92,"Polygon areas are named protected city/district conservation zones, not a full tessellation or reporting lattice. Main meaning is identifiable bounded heritage areas, so ObjectDS with PlainVectorRegion.",
Wilde bijen,Wild bees,https://maps.amsterdam.nl/open_geodata/?k=135,https://maps.amsterdam.nl/bijen,BIJEN,PointDS,ObjectDS,0.92,"Point features represent bee observation locations; each point is a distinct real-world observed place/object, not a network, amount, or event layer.",
Honingbijen,Honey bees,https://maps.amsterdam.nl/open_geodata/?k=136,https://maps.amsterdam.nl/honingbijen,BIJEN_HONING,PointDS,AmountDS,0.99,"Point features represent honey bee locations/apiaries, and the decisive attribute is numeric quantity (Aantal_volken / Aantal_kasten), so this is a point-based amount layer.",
Bodemkwaliteit,Soil quality,https://maps.amsterdam.nl/open_geodata/?k=57,https://maps.amsterdam.nl/bodemkwaliteit,BODEMKWALITEIT,VectorTessellation,CoverageDS,0.91,"Polygon layer classifying Amsterdam soil quality into zone categories (e.g., Zone 1–7, saneringsgebied) across the study area, so it is a tessellated full-area thematic coverage.",
Bomen (deel 1),Trees (part 1),https://maps.amsterdam.nl/open_geodata/?k=254,https://maps.amsterdam.nl/bomen,BOMEN,PointDS,ObjectDS,0.99,"Point geometry with 70,000 individually identified trees (tree number, species, height, owner/manager) indicates distinct real-world objects, not measures or events.",
Bomen (deel 2),Trees (part 2),https://maps.amsterdam.nl/open_geodata/?k=255,https://maps.amsterdam.nl/bomen,BOMEN_2,PointDS,ObjectDS,0.99,"Point features representing individual trees; each point is a distinct real-world object, so PointDS + ObjectDS.",
Bomen (deel 3),Trees (part 3),https://maps.amsterdam.nl/open_geodata/?k=256,https://maps.amsterdam.nl/bomen,BOMEN_3,PointDS,ObjectDS,0.99,"Point features represent individual trees (distinct, countable real-world objects), so Geometry is PointDS and Entity is ObjectDS.",
Bomen (deel 4),Trees (part 4),https://maps.amsterdam.nl/open_geodata/?k=257,https://maps.amsterdam.nl/bomen,BOMEN_4,PointDS,ObjectDS,0.99,"Point features represent individual trees identified by tree number and species, so this is a point object layer (not network, event, or amount).",
Buurtcompost,Neighborhood compost,https://maps.amsterdam.nl/open_geodata/?k=228,https://maps.amsterdam.nl/buurtcompost,BUURTCOMPOST,PointDS,ObjectDS,0.96,"Point features marking individual neighborhood compost locations; each point is a distinct real-world facility/object, not a measurement or event.",
Cameragebieden,Camera areas,https://maps.amsterdam.nl/open_geodata/?k=149,https://maps.amsterdam.nl/overlast,CAMERAGEBIEDEN,PlainVectorRegion,ObjectDS,0.87,"Polygon areas named as camera areas; they are selected bounded regions, not a full tessellation. By the object/area rule, these named bounded zones are best classified as ObjectDS.",
Canadese populieren,Canadian poplars,https://maps.amsterdam.nl/open_geodata/?k=232,https://maps.amsterdam.nl/canadese_populieren,CANADESE_POPULIEREN,PointDS,ObjectDS,0.99,"Point locations for individual trees; each feature is a distinct real-world object (a Canadian poplar), not a measurement or event. Classified by point geometry + object rule.",
Sensoren Crowd Monitoring Systeem Amsterdam,Sensors Crowd Monitoring System Amsterdam,https://maps.amsterdam.nl/open_geodata/?k=264,https://maps.amsterdam.nl/cmsa,CROWDSENSOREN,PointDS,ObjectDS,0.98,Point features representing identifiable crowd-monitoring sensors/cameras; not a network or measure. Decisive rule: point geometry + real-world objects.,
Cultuurhistorische verkenningen,Cultural historic explorations,https://maps.amsterdam.nl/open_geodata/?k=126,https://maps.amsterdam.nl/cultuurhistorie,CULTUURHISTORIE_VERKENNINGEN,PlainVectorRegion,PatchDS,0.9,"Polygon areas represent selected cultural-historical exploration zones, not a full tessellation or reporting units; best fits bounded area patches.",
Duizendknoop,Knotweed,https://maps.amsterdam.nl/open_geodata/?k=247,https://maps.amsterdam.nl/duizendknoop,DUIZENDKNOOP,PointDS,PatchDS,0.95,"Point features mark knotweed occurrences/patches, not a reporting or full-coverage layer; the decisive rule is bounded phenomenon patch at point locations.",
Ecopassages,Ecopassages,https://maps.amsterdam.nl/open_geodata/?k=63,https://maps.amsterdam.nl/ecopassages,ECOPASSAGES,PointDS,ObjectDS,0.97,Point features marking ecopassage problem/solution locations; main meaning is identifiable real-world objects/locations rather than measurements or events.,
Energie - Potentiele gebieden windenergie,Energy - Potential areas of wind energy,https://maps.amsterdam.nl/open_geodata/?k=96,https://maps.amsterdam.nl/energie_zonwind,ENERGIE_WINDVISIE,PlainVectorRegion,PatchDS,0.91,"Polygon areas mark selected potential wind-energy sites, not a full tessellation or reporting units. The decisive rule is patch-like bounded zones with numeric attributes for capacity/output, so PlainVectorRegion + PatchDS.",
Verkiezingen Europarlement 2019,Elections Europarliament 2019,https://maps.amsterdam.nl/open_geodata/?k=282,https://maps.amsterdam.nl/europarlement2019,EP19,PointDS,ObjectDS,0.98,"Point geometry with 744 voting-location features; each point is a distinct real-world stemlocatie (polling place), so this is best classified as ObjectDS rather than measures or events.",
Eikenprocessierups (nesten),Oak processionary caterpillar (nesting),https://maps.amsterdam.nl/open_geodata/?k=67,https://maps.amsterdam.nl/eikenprocessierups,EPR_NESTEN,PointDS,ObjectDS,0.97,"Point layer marking individual trees/brood nests tied to Boom_IDs; each point is a distinct real-world object, not a measurement or event. The decisive rule is point geometry with object-like entities.",
Fietstaxi - gebieden,Pedicabs - areas,https://maps.amsterdam.nl/open_geodata/?k=140,https://maps.amsterdam.nl/fietstaxi,FIETSTAXI,VectorTessellation,CoverageDS,0.95,"Polygon layer of pedicab areas that partitions the city into allowed/forbidden zones; this is a full-area thematic classification, so VectorTessellation + CoverageDS.",
Fietstaxi - standplaatsen,Pedicabs - pitches,https://maps.amsterdam.nl/open_geodata/?k=141,https://maps.amsterdam.nl/fietstaxi,FIETSTAXI_STANDPLAATSEN,PointDS,ObjectDS,0.97,"Point features mark specific pedicab/coach stand locations; the decisive rule is point geometry + identifiable real-world objects/facilities, not amounts or events.",
Niet-woonfuncties (Functiekaart),Non-residential functions (Function Map),https://maps.amsterdam.nl/open_geodata/?k=49,https://maps.amsterdam.nl/functiekaart,FUNCTIEKAART,PointDS,ObjectDS,0.94,"Point features each mark a distinct non-residential object/building with address and function attributes; this is an object layer, not a measurement or event layer.",
Functiemix,Function mix,https://maps.amsterdam.nl/open_geodata/?k=310,https://maps.amsterdam.nl/functiemix,FUNCTIEMIX,VectorTessellation,CoverageDS,0.98,Polygon layer of block/street units classified by function-mix percentages (WON/VZN/WRK); this is a tessellation and the main meaning is a full-area thematic coverage classification.,
Wijken,Neighborhoods,https://maps.amsterdam.nl/open_geodata/?k=200,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_BUURTCOMBINATIES,VectorTessellation,LatticeDS,0.98,"Neighborhood polygons form a near-complete partition of Amsterdam; the decisive rule is tessellation. The layer is a reporting/administrative unit layer (buurtcombinaties) with codes and area, so LatticeDS fits.",
Wijken excl.water,Neighborhoods excl.water,https://maps.amsterdam.nl/open_geodata/?k=201,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_BUURTCOMBINATIES_EXWATER,VectorTessellation,LatticeDS,0.98,"Neighborhood polygons covering Amsterdam’s area (excl. water) form a near-complete partition, and the attributes identify reporting units with codes and area; this matches tessellation + lattice.",
Buurten,Neighborhoods,https://maps.amsterdam.nl/open_geodata/?k=198,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_BUURTEN,VectorTessellation,LatticeDS,0.99,"Neighborhood polygons form a near-complete partition of Amsterdam, so the geometry is a tessellation. They are reporting/statistical units with codes and area attributes, so the entity is LatticeDS.",
Buurten excl.water,Neighborhoods excl.water,https://maps.amsterdam.nl/open_geodata/?k=199,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_BUURTEN_EXWATER,VectorTessellation,LatticeDS,0.98,"Neighborhood polygons form a near-complete partition of Amsterdam, and the layer is a reporting/statistical unit map (buurten) with codes and area attributes, so tessellation + lattice.",
Stadsdelen,City districts,https://maps.amsterdam.nl/open_geodata/?k=202,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_STADSDELEN,VectorTessellation,LatticeDS,0.98,"City districts are administrative reporting units that partition Amsterdam, so the geometry is a tessellation and the entity is a lattice (district units with attached attributes like area).",
Stadsdelen excl.water,City districts excl.water,https://maps.amsterdam.nl/open_geodata/?k=203,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_STADSDELEN_EXWATER,VectorTessellation,LatticeDS,0.97,"City districts are administrative reporting units that partition Amsterdam; the polygons form a tessellation, so this is a lattice/reporting-unit layer.",
22 Gebieden,22 Areas,https://maps.amsterdam.nl/open_geodata/?k=204,https://maps.amsterdam.nl/gebiedsindeling,GEBIEDEN22,VectorTessellation,LatticeDS,0.97,Polygon layer of 22 named Amsterdam areas that functions as a complete area partition; decisive rules are tessellation and reporting-unit style area division (Gebied/Stadsdeel codes with area attributes).,
22 Gebieden excl.water,22 Areas excluding water,https://maps.amsterdam.nl/open_geodata/?k=205,https://maps.amsterdam.nl/gebiedsindeling,GEBIEDEN22_EXWATER,VectorTessellation,LatticeDS,0.94,"Polygon areas named by Amsterdam districts/areas with codes and area fields; they form a near-complete area division, so this is a tessellation of reporting units (gebiedsindeling).",
25 Praktijkgebieden,25 Practice areas,https://maps.amsterdam.nl/open_geodata/?k=268,https://maps.amsterdam.nl/gebiedsindeling,GEBIEDEN25,VectorTessellation,LatticeDS,0.98,Polygon areas named as practice areas and tied to stadsdeel codes indicate a partition of Amsterdam into reporting/administrative units; this matches tessellation and the reporting-unit (lattice) rule.,
25 Praktijkgebieden excl.water,25 Practice areas excluding water,https://maps.amsterdam.nl/open_geodata/?k=269,https://maps.amsterdam.nl/gebiedsindeling,GEBIEDEN25_EXWATER,VectorTessellation,LatticeDS,0.98,"Polygons represent Amsterdam practice areas that subdivide the city into reporting units, with area attributes; this fits tessellation + lattice.",
Geluidscontouren industrie,Noise contours industry,https://maps.amsterdam.nl/open_geodata/?k=263,https://maps.amsterdam.nl/geluid2,GELUID_INDUSTRIE,PlainVectorRegion,ContourDS,0.96,"Polygon regions represent industrial noise contour zones (50 dB etc.); this is an isoline/interval-style contour layer, not a tessellation or reporting unit layer.",
Geluidscontouren luchtvaart,Noise contours air traffic,https://maps.amsterdam.nl/open_geodata/?k=252,https://maps.amsterdam.nl/geluid,GELUID_LUCHTVAART_LDEN,PlainVectorRegion,ContourDS,0.97,"Polygon bands represent noise contour intervals (55-60, 60-65, 65-70, >70 dB), so this is a contour/interval map; the regions do not form a reporting tessellation, so Geometry is PlainVectorRegion.",
Geluidscontouren verkeer (deel 1),Noise contours traffic (part 1),https://maps.amsterdam.nl/open_geodata/?k=267,https://maps.amsterdam.nl/geluid1,GELUID_VERKEER,VectorTessellation,ContourDS,0.99,"Polygon features form contour bands for traffic noise levels (dB classes), so the layer is a tessellated contour map rather than isolated patches or reporting units.",
Geluidscontouren verkeer (deel 2),Noise contours traffic (part 2),https://maps.amsterdam.nl/open_geodata/?k=134,https://maps.amsterdam.nl/geluid,GELUID_VERKEER_2,VectorTessellation,ContourDS,0.98,"Polygon regions form a contour-style tessellation of noise bands (e.g., 50-55 dB, 55-60 dB), so the geometry is VectorTessellation and the entity is ContourDS.",
Verkiezingen Gemeenteraad 2018,Elections Municipality 2018,https://maps.amsterdam.nl/open_geodata/?k=250,https://maps.amsterdam.nl/gemeenteraad2018,GEMEENTERAAD2018,PointDS,AmountDS,0.99,"Point features represent voting locations (Stembureau/Stemlocatie), and the main meaning is numeric election results and turnout counts/percentages, so PointDS + AmountDS.",
Groene daken,Green roofs,https://maps.amsterdam.nl/open_geodata/?k=51,https://maps.amsterdam.nl/groene_daken,GROENE_DAKEN,PointDS,ObjectDS,0.97,"Point features marking individual green roof locations by address; the layer is about identifiable real-world objects (green roofs), not a network or measurement field.",
Grondgebruik 2017,Land use 2017,https://maps.amsterdam.nl/open_geodata/?k=152,https://maps.amsterdam.nl/grondgebruik,GRONDGEBRUIK_2017,VectorTessellation,CoverageDS,0.98,Land use 2017 is an area-wide thematic classification of polygon classes that together partition the city; this matches tessellation geometry and coverage entity.,
Historische bebouwing,Historical buildings,https://maps.amsterdam.nl/open_geodata/?k=118,https://maps.amsterdam.nl/archeologie,HISTORISCHE_BEBOUWING,PointDS,ObjectDS,0.98,"Point geometries mark individual historical buildings/structures (e.g., churches, gates, monasteries), so this is a set of identifiable real-world objects rather than measurements or events.",
Hoe groot is Amsterdam,How big is Amsterdam,https://maps.amsterdam.nl/open_geodata/?k=166,https://maps.amsterdam.nl/hoegroot,HOEGROOT,VectorTessellation,LatticeDS,0.94,"The layer uses polygons for municipality areas, which are reporting/administrative units rather than isolated patches. By the tessellation and reporting-unit rules, Geometry is VectorTessellation and Entity is LatticeDS.",
Honden uitren- en verbodsgebieden,Dogs run and ban areas,https://maps.amsterdam.nl/open_geodata/?k=245,https://maps.amsterdam.nl/honden,HONDEN,VectorTessellation,CoverageDS,0.95,"Polygons form a citywide set of dog-rule areas, and the layer classifies area-wide restrictions/permissions rather than reporting units or individual objects; this matches a tessellation-style coverage map.",
Hoofdgroenstructuur (HGS),Main Green Structure,https://maps.amsterdam.nl/open_geodata/?k=55,https://maps.amsterdam.nl/hoofdgroenstructuur,HOOFDGROENSTRUCTUUR,PlainVectorRegion,ObjectDS,0.92,"Polygon regions are individual named green areas in Amsterdam’s Main Green Structure, not a full tessellation; the decisive rule is object-like bounded areas (parks, cemeteries, corridors) rather than reporting units or coverage.",
