RowIndex,Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,GPTGeometry,GPTEntity,GPTReasoningSummary,GPTError,GPTConfidence,RunID
0,Corporatiebezit AFWC 2020,Housing association property AFWC 2020,https://maps.amsterdam.nl/open_geodata/?k=208,https://maps.amsterdam.nl/afwc_2020,AFWC_2020,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The layer maps housing association property footprints/blocks as discrete bounded objects with attributes like corporation and dwelling counts; polygons are isolated rather than a full tessellation, so PlainVectorRegion and ObjectDS fit best.",,0.92,debug_manual_gpt
1,Archeologische beerputten,Archaeological cesspits,https://maps.amsterdam.nl/open_geodata/?k=273,https://maps.amsterdam.nl/archeologie,ARCHEO_BEERPUT_VONDST,PointDS,ObjectDS,PointDS,ObjectDS,"Point features represent individual archaeological cesspits/find spots with addresses and photos, so this is a set of identifiable objects rather than measurements or events.",,0.98,debug_manual_gpt
2,Archeologische waterbodems,Archaeological water soils,https://maps.amsterdam.nl/open_geodata/?k=274,https://maps.amsterdam.nl/archeologie,ARCHEO_WATERBODEMS,PointDS,ObjectDS,PointDS,ObjectDS,"Point features mark distinct archaeological find locations/objects in water soils; this is a point object layer, not a measurement or event layer.",,0.98,debug_manual_gpt
3,Archeologische vindplaatsen,Archaeological sites,https://maps.amsterdam.nl/open_geodata/?k=101,https://maps.amsterdam.nl/archeologie,ARCHEOVINDPLAATSEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"Polygon layer of archaeological sites/vindplaatsen: discrete bounded heritage objects, not a reporting-unit tessellation or full-area coverage. Topology hints and the layer meaning support PlainVectorRegion; entity is ObjectDS because each polygon represents a distinct site/object with descriptive attributes.",,0.98,debug_manual_gpt
4,Barbecue,Barbecue,https://maps.amsterdam.nl/open_geodata/?k=319,https://maps.amsterdam.nl/bbq,BBQ,PlainVectorRegion,ObjectDS,PlainVectorRegion,PatchDS,"Polygons are isolated park/area zones for BBQ restrictions, not a tessellation or reporting unit; decisive rule is selected bounded phenomenon areas -> PatchDS.",,0.98,debug_manual_gpt
5,Beschermde stads- en dorpsgezichten,Conservation areas,https://maps.amsterdam.nl/open_geodata/?k=125,https://maps.amsterdam.nl/cultuurhistorie,BESCHERMDESTADSGEZICHTEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,PatchDS,"Polygons are discrete protected conservation areas, not a full tessellation; topology shows isolated polygons with no shared boundaries. The main meaning is bounded heritage zones, so PatchDS fits best.",,0.98,debug_manual_gpt
6,Wilde bijen,Wild bees,https://maps.amsterdam.nl/open_geodata/?k=135,https://maps.amsterdam.nl/bijen,BIJEN,PointDS,AmountDS,PointDS,ObjectDS,"Point features mark bee observation locations/areas by year and observed species; the layer is about distinct observation objects, not a measurement or event series. Geometry is PointDS from the Point geometry type.",,0.97,debug_manual_gpt
7,Honingbijen,Honey bees,https://maps.amsterdam.nl/open_geodata/?k=136,https://maps.amsterdam.nl/honingbijen,BIJEN_HONING,PointDS,AmountDS,PointDS,AmountDS,"Point features represent beehive locations, but the main mapped phenomenon is the numeric number of colonies/hives (Aantal_volken/Aantal_kasten), so this is a point-based amount layer.",,0.97,debug_manual_gpt
8,Bodemkwaliteit,Soil quality,https://maps.amsterdam.nl/open_geodata/?k=57,https://maps.amsterdam.nl/bodemkwaliteit,BODEMKWALITEIT,PlainVectorRegion,PatchDS,VectorTessellation,CoverageDS,"Polygons form a near-partition with strong shared boundaries, so VectorTessellation. The layer maps soil quality/soil-function zones across the area as an exhaustive thematic classification, which fits CoverageDS.",,0.93,debug_manual_gpt
9,Bomen (deel 1),Trees (part 1),https://maps.amsterdam.nl/open_geodata/?k=254,https://maps.amsterdam.nl/bomen,BOMEN,PointDS,ObjectDS,PointDS,ObjectDS,"Point layer of individual trees; each feature is a distinct real-world object with species, age, and owner/manager attributes, so ObjectDS.",,0.99,debug_manual_gpt
